Date,Open,High,Low,Close,Adj Close,Volume,Returns,Daily_Return,SP500,T10Y3M,DGS10,DEXUSEU,CBBTCUSD,T10YIE,VIXCLS,DAAA,AMERIBOR,T5YIE,BAMLH0A0HYM2,DGS1,RSI_14,OBV,Close_EMA_50,ROC_10,Momentum_10,SMA_50,SMA_200,VIX_Close
2020-11-13,486.7699890136719,488.94000244140625,477.79998779296875,482.8399963378906,482.8399963378906,3002700.0,-3.92999267578125,-0.008106381444571653,3585.15,0.8,0.89,1.1824,16339.59,1.72,23.1,2.35,0.07731264,1.64,4.63,0.12,48.32527172323612,-22745700.0,498.4716687586858,1.4924131351702785,-21.3699951171875,502.4709979248047,443.67859970092775,23.100000381469727
2020-11-16,480.0,485.5799865722656,477.29998779296875,479.1000061035156,479.1000061035156,3953600.0,-3.739990234375,-0.007775971619786937,3626.91,0.82,0.91,1.1844,16714.58,1.72,22.45,2.35,0.07886844,1.64,4.5,0.12,47.00797856282578,-26699300.0,497.711995713385,-1.03693073293879,3.360015869140625,501.4617980957031,444.4440997314453,22.450000762939453
2020-11-17,480.1199951171875,487.510009765625,478.8500061035156,480.6300048828125,480.6300048828125,3698100.0,1.529998779296875,0.003188396857304099,3609.53,0.78,0.87,1.1862,17660.9,1.7,22.71,2.31,0.07749068,1.63,4.48,0.12,48.28030597284682,-23001200.0,497.04211372002925,-1.3525709784860562,-3.489990234375,499.9433984375,445.0992497253418,22.709999084472656
2020-11-18,481.95001220703125,488.6099853515625,477.7200012207031,481.7900085449219,481.7900085449219,3629200.0,1.160003662109375,0.0024105987150218056,3567.79,0.79,0.88,1.1869,17802.82,1.7,23.84,2.26,0.07632918,1.63,4.42,0.11,42.33766753901473,-19372000.0,496.4439919484564,-3.050609375132418,-5.42999267578125,498.52239807128905,445.74239974975586,23.84000015258789
2020-11-19,482.0,487.79998779296875,480.4700012207031,484.6700134277344,484.6700134277344,2254700.0,2.8800048828125,0.005959922484751523,3581.87,0.79,0.86,1.1843,17804.44,1.7,23.11,2.28,0.07746573,1.62,4.48,0.11,53.69895776054406,-17117300.0,495.98226730058497,-5.662176071501035,-12.279998779296875,497.70079833984374,446.45134979248047,23.110000610351562
2020-11-20,485.2200012207031,494.760009765625,481.57000732421875,488.239990234375,488.239990234375,4253400.0,3.569976806640625,0.0073387935488522515,3557.54,0.76,0.83,1.1857,18702.87,1.69,23.7,2.24,0.08206582,1.61,4.49,0.11,51.777392760564645,-12863900.0,495.6786485921062,-5.146385724463009,-25.52001953125,497.4617980957031,447.149949798584,23.700000762939453
2020-11-23,490.4599914550781,491.1499938964844,475.8399963378906,476.6199951171875,476.6199951171875,5416600.0,-11.6199951171875,-0.024087550783997713,3577.59,0.78,0.86,1.1826,18391.21,1.71,22.66,2.24,0.07781106,1.62,4.43,0.1,45.74023060623356,-18280500.0,494.93125041661915,1.3007428516870423,-38.1099853515625,497.3807977294922,447.8172497558594,22.65999984741211
2020-11-24,478.8399963378906,484.04998779296875,475.8900146484375,482.8800048828125,482.8800048828125,3550500.0,6.260009765625,0.013048668240786654,3635.41,0.79,0.88,1.1874,19185.07,1.74,21.64,2.26,0.0771862,1.65,4.31,0.11,44.183541544293526,-14730000.0,494.4586525525483,0.5497281988426472,12.3800048828125,497.3977978515625,448.4929498291016,21.639999389648438
2020-11-25,485.1300048828125,486.8999938964844,478.9200134277344,485.0,485.0,3598600.0,2.1199951171875,0.004380705246144423,3629.65,0.79,0.88,1.1908,18706.15,1.75,21.25,2.26,0.07692095,1.67,4.33,0.11,36.4671449077321,-11131400.0,494.08772500146796,-1.1736917538117786,4.760009765625,497.57259765625,449.19249984741214,21.25
2020-11-30,490.0799865722656,492.54998779296875,481.2699890136719,490.70001220703125,490.70001220703125,3530900.0,-0.65997314453125,-0.0013440589078577148,3621.63,0.76,0.84,1.1948,19727.0,1.77,20.57,2.2,0.07837652,1.68,4.33,0.11,53.94386125592973,-14662300.0,493.8480742841391,2.4212076718298503,3.930023193359375,497.4667980957031,449.85599990844725,20.56999969482422
2020-12-01,492.3399963378906,509.4700012207031,491.9800109863281,504.5799865722656,504.5799865722656,5052700.0,13.879974365234375,0.027893405482386058,3662.45,0.83,0.92,1.2039,18763.35,1.81,20.77,2.23,0.0769506,1.72,4.21,0.12,56.74015194837924,-9609600.0,494.26893358955584,4.983039228957975,21.739990234375,497.8811981201172,450.53384979248045,20.770000457763672
2020-12-02,501.6199951171875,506.79998779296875,493.5,503.3800048828125,503.3800048828125,3028400.0,-1.199981689453125,-0.0023810116801037395,3669.01,0.86,0.95,1.2093,19245.61,1.85,21.17,2.25,0.07398627,1.76,4.17,0.11,59.75266484896528,-12638000.0,494.6262305030169,4.481204664890348,24.279998779296875,498.5447979736328,451.20239974975584,21.170000076293945
2020-12-03,502.989990234375,508.7699890136719,496.0400085449219,497.5199890136719,497.5199890136719,2826100.0,-5.860015869140625,-0.011709627061460282,3666.72,0.84,0.92,1.2152,19430.07,1.86,21.28,2.21,0.07242161,1.78,4.1,0.1,57.635847676280164,-15464100.0,494.739711228925,2.6512833948728387,16.889984130859375,499.0959979248047,451.8552496337891,21.280000686645508
2020-12-04,497.5,504.5,493.6400146484375,498.30999755859375,498.30999755859375,3666200.0,0.790008544921875,0.0015866337051617663,3699.12,0.88,0.97,1.2142,18692.32,1.89,20.79,2.26,0.07413775,1.83,4.03,0.11,62.46848595792916,-11797900.0,494.87972245753946,2.0625117822455907,16.519989013671875,499.31519775390626,452.5129496765137,20.790000915527344
2020-12-07,500.010009765625,517.760009765625,497.7699890136719,515.780029296875,515.780029296875,4289300.0,17.47003173828125,0.03445800635909624,3691.96,0.86,0.94,1.2138,19202.88,1.88,21.3,2.26,0.07816503,1.84,4.03,0.1,71.33544654197289,-7508600.0,495.6993423335918,8.216196252962305,31.110015869140625,499.8073980712891,453.23649978637695,21.299999237060547
2020-12-08,517.9000244140625,521.489990234375,505.54998779296875,512.6599731445312,512.6599731445312,4229000.0,-3.12005615234375,-0.006067569750511481,3702.25,0.83,0.92,1.2111,18311.76,1.89,20.68,2.25,0.07580262,1.84,4.03,0.1,67.65085054039787,-11737600.0,496.36446511049144,6.167157049492222,24.41998291015625,500.6483978271484,453.9313496398926,20.68000030517578
2020-12-09,510.5299987792969,514.5,491.2900085449219,493.6000061035156,493.6000061035156,4178800.0,-19.059967041015625,-0.03788732007071083,3672.82,0.87,0.95,1.208,18550.01,1.91,22.27,2.29,0.07565321,1.84,4.04,0.1,51.50099740916019,-15916400.0,496.25605495335515,1.7731971347454856,16.980010986328125,501.0587982177734,454.49929962158205,22.270000457763672
2020-12-10,494.55999755859375,503.7699890136719,492.9100036621094,501.0899963378906,501.0899963378906,3018200.0,7.489990234375,0.015060233405193912,3668.1,0.84,0.92,1.2118,18286.8,1.88,22.52,2.29,0.07551321,1.83,4.08,0.1,53.62449505218462,-12898200.0,496.44562128216046,3.3175250181217697,18.209991455078125,501.422998046875,455.0977496337891,22.520000457763672
2020-12-11,495.0,503.3399963378906,494.8500061035156,503.2200012207031,503.2200012207031,3210900.0,2.1300048828125,0.004241734288480181,3663.46,0.82,0.9,1.2112,18048.14,1.87,23.31,2.27,0.07672967,1.82,4.13,0.1,62.643689774591635,-9687300.0,496.71128324053467,2.4137121912063852,18.220001220703125,501.67439819335937,455.7118496704102,23.309999465942383
2020-12-14,505.44000244140625,524.1599731445312,501.17999267578125,522.4199829101562,522.4199829101562,5770400.0,19.199981689453125,0.03744437670557588,3647.49,0.81,0.9,1.2145,19288.43,1.88,24.72,2.25,0.08074866,1.84,4.07,0.1,67.84254659363627,-3916900.0,497.7194675413042,6.464228635425839,31.719970703125,502.2531976318359,456.3929995727539,24.719999313354492
2020-12-15,518.5,524.7000122070312,513.5599975585938,519.780029296875,519.780029296875,3394900.0,-2.63995361328125,-0.0050661278616424,3694.62,0.84,0.92,1.2158,19451.34,1.91,22.89,2.31,0.08340652,1.86,4.06,0.09,65.19789438365223,-7311800.0,498.58458761015015,3.012414905289229,15.200042724609375,502.6481982421875,457.0618997192383,22.889999389648438
2020-12-16,520.1099853515625,527.3800048828125,517.6900024414062,524.8300170898438,524.8300170898438,3682400.0,5.04998779296875,0.009668731698724287,3701.17,0.83,0.92,1.2175,21384.63,1.92,22.5,2.27,0.08223944,1.9,4.06,0.09,66.98125652621448,-3629400.0,499.6138201387656,4.261196710033177,21.45001220703125,502.5945983886719,457.7856997680664,22.5
2020-12-17,529.0,535.489990234375,526.4400024414062,532.9000244140625,532.9000244140625,3193400.0,8.07000732421875,0.015259401923509053,3722.48,0.86,0.94,1.2258,22830.34,1.94,21.93,2.28,0.08308023,1.9,4.05,0.09,69.48042803634634,-436000.0,500.9191614828949,7.111279181069929,35.380035400390625,503.19139892578124,458.60669982910156,21.93000030517578
2020-12-18,533.2000122070312,536.3699951171875,526.02001953125,534.4500122070312,534.4500122070312,4502700.0,1.54998779296875,0.002904368443990002,3709.41,0.87,0.95,1.2236,23169.26,1.95,21.57,2.32,0.0942953,1.92,4.03,0.09,70.34695417336809,4066700.0,502.23409680541005,7.252516470771386,36.1400146484375,503.46739868164065,459.47849990844725,21.56999969482422
2020-12-21,530.0499877929688,532.6199951171875,521.1500244140625,528.9099731445312,528.9099731445312,3894000.0,-5.5400390625,-0.010419969276425967,3694.92,0.86,0.95,1.223,22777.26,1.95,25.16,2.28,0.09346503,1.9,4.18,0.09,62.266806129856484,172700.0,503.2802096030227,2.5456479704255575,13.12994384765625,503.9281982421875,460.226849822998,25.15999984741211
