Date,Interest
2020/1/1,77
2020/1/2,71
2020/1/3,60
2020/1/4,73
2020/1/5,70
2020/1/6,62
2020/1/7,48
2020/1/8,44
2020/1/9,46
2020/1/10,47
2020/1/11,59
2020/1/12,60
2020/1/13,44
2020/1/14,41
2020/1/15,44
2020/1/16,45
2020/1/17,49
2020/1/18,62
2020/1/19,60
2020/1/20,59
2020/1/21,50
2020/1/22,48
2020/1/23,45
2020/1/24,45
2020/1/25,56
2020/1/26,57
2020/1/27,39
2020/1/28,38
2020/1/29,39
2020/1/30,38
2020/1/31,41
2020/2/1,56
2020/2/2,59
2020/2/3,36
2020/2/4,40
2020/2/5,38
2020/2/6,40
2020/2/7,46
2020/2/8,56
2020/2/9,63
2020/2/10,46
2020/2/11,38
2020/2/12,37
2020/2/13,38
2020/2/14,42
2020/2/15,54
2020/2/16,59
2020/2/17,49
2020/2/18,40
2020/2/19,39
2020/2/20,37
2020/2/21,38
2020/2/22,48
2020/2/23,53
2020/2/24,41
2020/2/25,38
2020/2/26,40
2020/2/27,38
2020/2/28,41
2020/2/29,51
2020/3/1,55
2020/3/2,43
2020/3/3,37
2020/3/4,36
2020/3/5,37
2020/3/6,38
2020/3/7,47
2020/3/8,54
2020/3/9,41
2020/3/10,35
2020/3/11,36
2020/3/12,36
2020/3/13,44
2020/3/14,67
2020/3/15,71
2020/3/16,54
2020/3/17,60
2020/3/18,68
2020/3/19,70
2020/3/20,69
2020/3/21,92
2020/3/22,100
2020/3/23,69
2020/3/24,68
2020/3/25,68
2020/3/26,68
2020/3/27,72
2020/3/28,97
2020/3/29,99
2020/3/30,73
2020/3/31,69
2020/4/1,66
2020/4/2,66
2020/4/3,71
2020/4/4,87
2020/4/5,88
2020/4/6,57
2020/4/7,59
2020/4/8,59
2020/4/9,62
2020/4/10,68
2020/4/11,78
2020/4/12,81
2020/4/13,65
2020/4/14,53
2020/4/15,54
2020/4/16,59
2020/4/17,63
2020/4/18,77
2020/4/19,89
2020/4/20,71
2020/4/21,67
2020/4/22,69
2020/4/23,66
2020/4/24,70
2020/4/25,78
2020/4/26,82
2020/4/27,63
2020/4/28,56
2020/4/29,58
2020/4/30,59
2020/5/1,64
2020/5/2,77
2020/5/3,80
2020/5/4,61
2020/5/5,55
2020/5/6,57
2020/5/7,55
2020/5/8,60
2020/5/9,69
2020/5/10,70
2020/5/11,54
2020/5/12,55
2020/5/13,52
2020/5/14,53
2020/5/15,55
2020/5/16,62
2020/5/17,67
2020/5/18,52
2020/5/19,49
2020/5/20,50
2020/5/21,51
2020/5/22,52
2020/5/23,66
2020/5/24,70
2020/5/25,68
2020/5/26,53
2020/5/27,51
2020/5/28,47
2020/5/29,48
2020/5/30,54
2020/5/31,59
2020/6/1,44
2020/6/2,45
2020/6/3,47
2020/6/4,45
2020/6/5,47
2020/6/6,58
2020/6/7,62
2020/6/8,46
2020/6/9,49
2020/6/10,47
2020/6/11,49
2020/6/12,50
2020/6/13,59
2020/6/14,63
2020/6/15,49
2020/6/16,49
2020/6/17,44
2020/6/18,45
2020/6/19,44
2020/6/20,54
2020/6/21,55
2020/6/22,47
2020/6/23,48
2020/6/24,50
2020/6/25,47
2020/6/26,51
2020/6/27,60
2020/6/28,64
2020/6/29,50
2020/6/30,48
